choose = 2
0.84 -0.000788307 187
0.85 -0.000707554 168
0.86 -0.000629288 163
0.87 -0.000552965 194
0.88 -0.000478518 134
0.89 -0.000405886 250
0.9 -0.000335953 278
0.91 -0.000269426 378
0.92 -0.000206398 1353
0.93 -0.000146362 2671
0.94 -8.94978e-05 7601
0.95 -3.8509e-05 13135
0.96 6.25983e-06 18757
0.97 4.58293e-05 57592
0.98 8.1735e-05 100994
0.99 0.000111915 45485

choose = 10
0 -0.0107034 13
0.01 -0.0105672 22
0.02 -0.010431 23
0.03 -0.0102948 20
0.04 -0.0101586 22
0.05 -0.0100224 21
0.06 -0.00988624 21
0.07 -0.00975003 21
0.08 -0.00961383 21
0.09 -0.00947764 22
0.1 -0.00934246 21
0.11 -0.00920885 22
0.12 -0.00907643 21
0.13 -0.00894491 21
0.14 -0.00881411 21
0.15 -0.00868387 22
0.16 -0.0085541 21
0.17 -0.00842472 21
0.18 -0.00829565 20
0.19 -0.00816685 21
0.2 -0.00803827 21
0.21 -0.0079099 21
0.22 -0.00778169 21
0.23 -0.00765362 23
0.24 -0.00752569 21
0.25 -0.00739787 20
0.26 -0.00727015 21
0.27 -0.0071426 21
0.28 -0.00701565 21
0.29 -0.0068893 20
0.3 -0.00676351 21
0.31 -0.00663821 20
0.32 -0.00651336 21
0.33 -0.00638892 20
0.34 -0.00626485 21
0.35 -0.00614111 21
0.36 -0.00601769 22
0.37 -0.00589456 21
0.38 -0.00577169 21
0.39 -0.00564906 22
0.4 -0.00552666 22
0.41 -0.00540447 22
0.42 -0.00528247 20
0.43 -0.00516065 21
0.44 -0.005039 20
0.45 -0.0049175 21
0.46 -0.00479616 20
0.47 -0.00467495 21
0.48 -0.00455388 21
0.49 -0.0044336 21
0.5 -0.00431442 21
0.51 -0.00419626 21
0.52 -0.00407906 22
0.53 -0.00396278 22
0.54 -0.00384736 20
0.55 -0.00373275 21
0.56 -0.00361891 21
0.57 -0.0035058 21
0.58 -0.00339339 21
0.59 -0.00328163 21
0.6 -0.00317049 23
0.61 -0.00305995 22
0.62 -0.00294998 21
0.63 -0.00284054 23
0.64 -0.00273161 20
0.65 -0.00262317 21
0.66 -0.0025152 22
0.67 -0.00240768 21
0.68 -0.00230069 22
0.69 -0.00219479 22
0.7 -0.00209011 22
0.71 -0.00198693 22
0.72 -0.00188549 22
0.73 -0.00178571 21
0.74 -0.00168754 22
0.75 -0.0015909 21
0.76 -0.00149574 23
0.77 -0.001402 21
0.78 -0.00130962 22
0.79 -0.00121855 21
0.8 -0.00112899 22
0.81 -0.00104124 21
0.82 -0.000955393 21
0.83 -0.000870852 260
0.84 -0.000788307 156
0.85 -0.000708641 254
0.86 -0.000630585 195
0.87 -0.000554715 276
0.88 -0.000481215 242
0.89 -0.000409717 300
0.9 -0.000340156 409
0.91 -0.000273489 467
0.92 -0.000210414 1696
0.93 -0.000150686 3525
0.94 -9.38213e-05 9979
0.95 -4.34219e-05 17390
0.96 1.18164e-06 33456
0.97 4.07477e-05 94473
0.98 7.74097e-05 141946
0.99 0.00010857 54332

